2026-03-20 15:51:03 status half-installed perl-base:armhf 5.36.0-7+deb12u3
2026-03-20 15:51:06 status unpacked perl-base:armhf 5.36.0-7+deb12u3
2026-03-20 15:51:06 install sed:armhf <none> 4.9-1
2026-03-20 15:51:06 status half-installed sed:armhf 4.9-1
2026-03-20 15:51:06 status unpacked sed:armhf 4.9-1
2026-03-20 15:51:07 install sysvinit-utils:armhf <none> 3.06-4
2026-03-20 15:51:07 status half-installed sysvinit-utils:armhf 3.06-4
2026-03-20 15:51:07 status unpacked sysvinit-utils:armhf 3.06-4
2026-03-20 15:51:07 install tar:armhf <none> 1.34+dfsg-1.2+deb12u1
2026-03-20 15:51:07 status half-installed tar:armhf 1.34+dfsg-1.2+deb12u1
2026-03-20 15:51:08 status unpacked tar:armhf 1.34+dfsg-1.2+deb12u1
2026-03-20 15:51:08 install tzdata:all <none> 2025b-0+deb12u2
2026-03-20 15:51:08 status half-installed tzdata:all 2025b-0+deb12u2
2026-03-20 15:51:12 status unpacked tzdata:all 2025b-0+deb12u2
2026-03-20 15:51:12 install usr-is-merged:all <none> 37~deb12u1
2026-03-20 15:51:12 status half-installed usr-is-merged:all 37~deb12u1
2026-03-20 15:51:13 status unpacked usr-is-merged:all 37~deb12u1
2026-03-20 15:51:13 install util-linux:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:51:13 status half-installed util-linux:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:14 status unpacked util-linux:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:14 install util-linux-extra:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:51:14 status half-installed util-linux-extra:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:14 status unpacked util-linux-extra:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:15 install zlib1g:armhf <none> 1:1.2.13.dfsg-1
2026-03-20 15:51:15 status half-installed zlib1g:armhf 1:1.2.13.dfsg-1
2026-03-20 15:51:15 status unpacked zlib1g:armhf 1:1.2.13.dfsg-1
2026-03-20 15:51:15 startup packages configure
2026-03-20 15:51:15 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2026-03-20 15:51:15 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2026-03-20 15:51:15 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2026-03-20 15:51:18 status installed debian-archive-keyring:all 2023.3+deb12u2
2026-03-20 15:51:18 configure usr-is-merged:all 37~deb12u1 <none>
2026-03-20 15:51:18 status unpacked usr-is-merged:all 37~deb12u1
2026-03-20 15:51:18 status half-configured usr-is-merged:all 37~deb12u1
2026-03-20 15:51:18 status installed usr-is-merged:all 37~deb12u1
2026-03-20 15:51:18 configure libaudit-common:all 1:3.0.9-1 <none>
2026-03-20 15:51:18 status unpacked libaudit-common:all 1:3.0.9-1
2026-03-20 15:51:18 status half-configured libaudit-common:all 1:3.0.9-1
2026-03-20 15:51:18 status installed libaudit-common:all 1:3.0.9-1
2026-03-20 15:51:18 configure libsemanage-common:all 3.4-1 <none>
2026-03-20 15:51:18 status unpacked libsemanage-common:all 3.4-1
2026-03-20 15:51:18 status half-configured libsemanage-common:all 3.4-1
2026-03-20 15:51:18 status installed libsemanage-common:all 3.4-1
2026-03-20 15:51:18 configure debconf:all 1.5.82 <none>
2026-03-20 15:51:18 status unpacked debconf:all 1.5.82
2026-03-20 15:51:18 status half-configured debconf:all 1.5.82
2026-03-20 15:51:19 status installed debconf:all 1.5.82
2026-03-20 15:51:19 configure gcc-12-base:armhf 12.2.0-14+deb12u1 <none>
2026-03-20 15:51:19 status unpacked gcc-12-base:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:19 status half-configured gcc-12-base:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:19 status installed gcc-12-base:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:19 configure tzdata:all 2025b-0+deb12u2 <none>
2026-03-20 15:51:19 status unpacked tzdata:all 2025b-0+deb12u2
2026-03-20 15:51:19 status half-configured tzdata:all 2025b-0+deb12u2
2026-03-20 15:51:22 status installed tzdata:all 2025b-0+deb12u2
2026-03-20 15:51:23 configure ncurses-base:all 6.4-4 <none>
2026-03-20 15:51:23 status unpacked ncurses-base:all 6.4-4
2026-03-20 15:51:23 status half-configured ncurses-base:all 6.4-4
2026-03-20 15:51:23 status installed ncurses-base:all 6.4-4
2026-03-20 15:51:23 configure init-system-helpers:all 1.65.2+deb12u1 <none>
2026-03-20 15:51:23 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-03-20 15:51:23 status half-configured init-system-helpers:all 1.65.2+deb12u1
2026-03-20 15:51:23 status installed init-system-helpers:all 1.65.2+deb12u1
2026-03-20 15:51:23 configure libgcc-s1:armhf 12.2.0-14+deb12u1 <none>
2026-03-20 15:51:23 status unpacked libgcc-s1:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:23 status half-configured libgcc-s1:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:23 status installed libgcc-s1:armhf 12.2.0-14+deb12u1
2026-03-20 15:51:23 configure libc6:armhf 2.36-9+deb12u13 <none>
